rec,id,ecl_time,line
rec_031,0332-1621,2025-12-11 04:20:00 +01,BL-80930
rec_031,0197-1267,2025-12-13 02:20:00 +01,BL-80930
rec_031,0893-0686,2025-12-13 06:00:00 +01,BL-80930
rec_031,0801-2115,2025-12-12 07:50:00 +01,BL-80930
rec_031,0942-2054,2025-12-11 19:00:00 +01,BL-80930
rec_031,1038-1801,2025-12-12 16:00:00 +01,BL-80930
rec_031,0528-2100,2025-12-11 01:50:00 +01,BL-80930
rec_031,0849-0469,2025-12-13 12:30:00 +01,BL-80930
rec_031,0686-1678,2025-12-12 02:10:00 +01,BL-80930
rec_031,0484-0739,2025-12-11 09:10:00 +01,BL-80930
rec_031,1077-0168,2025-12-13 03:20:00 +01,BL-80930
rec_031,1189-1310,2025-12-11 02:20:00 +01,BL-80930
rec_031,0858-0282,NA,BL-80930
rec_031,0252-2119,2025-12-11 12:10:00 +01,BL-80930
rec_031,1078-1752,2025-12-11 02:40:00 +01,BL-80930
rec_031,0155-1750,2025-12-11 12:00:00 +01,BL-80930
rec_031,0513-1522,2025-12-13 00:10:00 +01,BL-80930
rec_031,0980-1757,2025-12-11 20:20:00 +01,BL-80930
rec_031,0912-0159,2025-12-12 18:20:00 +01,BL-80930
rec_031,0912-0476,2025-12-13 04:40:00 +01,BL-80930
rec_031,1116-1317,2025-12-11 09:40:00 +01,BL-80930
rec_031,0820-2135,2025-12-12 09:10:00 +01,BL-80930
rec_031,0848-1663,2025-12-12 13:40:00 +01,BL-80930
rec_031,0460-1908,2025-12-12 03:20:00 +01,BL-80930
rec_031,0471-1948,2025-12-11 03:50:00 +01,BL-80930
rec_031,0340-0115,2025-12-13 10:50:00 +01,BL-80930
rec_031,1089-1776,2025-12-11 01:00:00 +01,BL-80930
rec_031,1154-1855,2025-12-11 07:10:00 +01,BL-80930
rec_031,0189-1303,2025-12-11 14:30:00 +01,BL-80930
rec_031,0329-2186,2025-12-13 02:00:00 +01,BL-80930
rec_031,0372-1974,2025-12-12 02:10:00 +01,BL-80930
rec_031,0884-0399,2025-12-13 07:40:00 +01,BL-80930
rec_031,0492-0748,2025-12-11 20:40:00 +01,BL-80930
rec_031,1171-1330,2025-12-11 17:20:00 +01,BL-80930
rec_031,1195-0572,2025-12-11 02:20:00 +01,BL-80930
rec_031,1133-1568,2025-12-11 16:40:00 +01,BL-80930
rec_031,0431-2166,2025-12-10 17:10:00 +01,BL-80930
rec_031,1026-0738,2025-12-13 03:10:00 +01,BL-80930
rec_031,0537-1598,2025-12-12 13:00:00 +01,BL-80930
rec_031,0199-1447,2025-12-11 13:50:00 +01,BL-80930
rec_031,0485-2139,2025-12-11 03:00:00 +01,BL-80930
rec_031,0997-0290,2025-12-13 05:30:00 +01,BL-80930
rec_031,0494-1825,2025-12-12 02:00:00 +01,BL-80930
rec_031,0816-0127,2025-12-11 19:00:00 +01,BL-80930
rec_031,0473-2056,2025-12-11 06:00:00 +01,BL-80930
rec_031,0484-0210,2025-12-12 02:00:00 +01,BL-80930
rec_031,1184-0939,2025-12-12 09:00:00 +01,BL-80930
rec_031,1116-1350,NA,BL-80930
rec_031,0476-2169,2025-12-10 22:50:00 +01,BL-80930
rec_031,1064-0195,2025-12-12 17:10:00 +01,BL-80930
rec_031,0560-0833,2025-12-11 18:20:00 +01,BL-80930
rec_031,0534-0208,2025-12-11 01:00:00 +01,BL-80930
rec_031,0167-0948,2025-12-12 08:00:00 +01,BL-80930
rec_031,1079-2122,2025-12-11 12:30:00 +01,BL-80930
rec_031,1037-0952,NA,BL-80930
rec_031,0467-1113,2025-12-10 21:20:00 +01,BL-80930
rec_031,1011-2154,2025-12-11 06:50:00 +01,BL-80930
rec_031,0551-0140,2025-12-11 09:20:00 +01,BL-80930
rec_031,0283-0458,2025-12-14 12:30:00 +01,BL-80930
rec_031,0884-0481,2025-12-13 01:30:00 +01,BL-80930
rec_031,0971-2052,2025-12-12 10:30:00 +01,BL-80930
rec_031,0396-1970,2025-12-11 17:40:00 +01,BL-80930
rec_031,0326-1473,2025-12-13 01:10:00 +01,BL-80930
rec_031,0987-1838,2025-12-12 07:40:00 +01,BL-80930
rec_031,0524-1743,2025-12-10 17:50:00 +01,BL-80930
rec_031,0367-1202,2025-12-11 05:00:00 +01,BL-80930
rec_031,0271-0994,2025-12-11 07:50:00 +01,BL-80930
rec_031,0382-0771,2025-12-11 22:40:00 +01,BL-80930
rec_031,1160-1899,2025-12-11 01:00:00 +01,BL-80930
rec_031,0532-1505,2025-12-10 23:00:00 +01,BL-80930
rec_031,0368-1430,NA,BL-80930
rec_031,0872-1913,2025-12-12 06:30:00 +01,BL-80930
rec_031,0428-1060,NA,BL-80930
rec_031,1082-1268,2025-12-12 04:30:00 +01,BL-80930
rec_031,0487-1799,2025-12-12 00:50:00 +01,BL-80930
rec_031,1154-1570,2025-12-12 01:10:00 +01,BL-80930
rec_031,0950-1758,2025-12-12 01:30:00 +01,BL-80930
rec_031,0549-1667,2025-12-11 23:20:00 +01,BL-80930
rec_031,1076-1346,2025-12-12 19:30:00 +01,BL-80930
rec_031,0104-2084,2025-12-12 21:10:00 +01,BL-80930
rec_031,0495-1854,2025-12-10 22:10:00 +01,BL-80930
rec_031,0907-1740,NA,BL-80930
rec_031,0528-1105,2025-12-10 22:50:00 +01,BL-80930
rec_031,0518-1772,2025-12-12 03:40:00 +01,BL-80930
rec_031,0949-2002,2025-12-11 15:00:00 +01,BL-80930
rec_031,0744-0458,2025-12-13 20:40:00 +01,BL-80930
rec_031,1124-0552,2025-12-12 22:20:00 +01,BL-80930
rec_031,1150-1292,2025-12-12 01:20:00 +01,BL-80930
rec_031,1083-1742,2025-12-13 19:30:00 +01,BL-80930
rec_031,0550-0863,2025-12-11 11:20:00 +01,BL-80930
rec_031,1157-1369,2025-12-11 20:20:00 +01,BL-80930
rec_031,0479-1233,2025-12-10 23:20:00 +01,BL-80930
rec_031,1056-2160,2025-12-11 05:30:00 +01,BL-80930
rec_031,1066-1673,2025-12-11 01:00:00 +01,BL-80930
rec_031,1084-0356,2025-12-11 19:30:00 +01,BL-80930
rec_031,1155-0762,2025-12-12 21:10:00 +01,BL-80930
rec_031,1155-0919,2025-12-11 18:40:00 +01,BL-80930
rec_031,1174-1007,2025-12-12 21:50:00 +01,BL-80930
rec_031,0792-0946,2025-12-11 01:30:00 +01,BL-80930
rec_031,0759-0197,2025-12-11 04:30:00 +01,BL-80930
rec_031,0434-1428,2025-12-11 17:20:00 +01,BL-80930
rec_031,0973-0235,2025-12-12 18:20:00 +01,BL-80930
rec_031,1099-1717,2025-12-11 18:40:00 +01,BL-80930
rec_031,1159-0638,2025-12-12 05:00:00 +01,BL-80930
rec_031,0994-1794,2025-12-11 13:00:00 +01,BL-80930
rec_031,1202-0992,2025-12-12 11:00:00 +01,BL-80930
rec_031,0727-1969,NA,BL-80930
rec_031,0422-1648,2025-12-13 02:20:00 +01,BL-80930
rec_031,1081-0934,2025-12-13 05:50:00 +01,BL-80930
rec_031,1115-1580,2025-12-12 21:50:00 +01,BL-80930
rec_031,1194-0524,2025-12-12 15:50:00 +01,BL-80930
rec_031,0360-1665,2025-12-11 04:40:00 +01,BL-80930
rec_031,0514-0753,2025-12-10 23:00:00 +01,BL-80930
rec_031,0170-1482,2025-12-11 08:40:00 +01,BL-80930
rec_031,1144-0978,2025-12-13 11:00:00 +01,BL-80930
rec_031,0508-1316,2025-12-11 00:40:00 +01,BL-80930
rec_031,0335-1191,2025-12-11 10:10:00 +01,BL-80930
rec_031,0960-1683,NA,BL-80930
rec_031,0300-2061,2025-12-11 07:40:00 +01,BL-80930
rec_031,0444-1028,2025-12-10 22:40:00 +01,BL-80930
rec_031,1120-0700,2025-12-13 01:10:00 +01,BL-80930
rec_031,0235-1287,2025-12-11 17:30:00 +01,BL-80930
rec_031,1120-1946,2025-12-11 10:40:00 +01,BL-80930
rec_031,0544-0451,2025-12-12 02:30:00 +01,BL-80930
rec_031,1145-2080,2025-12-11 07:40:00 +01,BL-80930
rec_031,1135-1592,2025-12-11 13:40:00 +01,BL-80930
rec_031,0826-2084,2025-12-11 15:40:00 +01,BL-80930
rec_031,0730-2153,2025-12-13 08:20:00 +01,BL-80930
rec_031,1162-2045,2025-12-11 01:40:00 +01,BL-80930
rec_031,0345-1450,2025-12-12 05:40:00 +01,BL-80930
rec_031,0414-0944,2025-12-11 21:30:00 +01,BL-80930
rec_031,0960-1490,2025-12-12 20:50:00 +01,BL-80930
rec_031,1068-1713,2025-12-11 11:10:00 +01,BL-80930
rec_031,0528-0628,2025-12-11 00:50:00 +01,BL-80930
rec_031,0439-0155,2025-12-13 02:20:00 +01,BL-80930
rec_031,1176-1087,2025-12-12 09:00:00 +01,BL-80930
rec_031,1159-1635,2025-12-11 12:00:00 +01,BL-80930
rec_031,0536-0131,2025-12-11 04:30:00 +01,BL-80930
rec_031,0797-1746,2025-12-12 22:20:00 +01,BL-80930
rec_031,0406-1759,2025-12-11 01:10:00 +01,BL-80930
rec_031,1076-0219,2025-12-13 00:50:00 +01,BL-80930
rec_031,0297-1221,2025-12-12 01:30:00 +01,BL-80930
rec_031,0719-0987,2025-12-10 17:40:00 +01,BL-80930
rec_031,0320-0249,2025-12-11 00:40:00 +01,BL-80930
rec_031,0749-0615,2025-12-11 13:30:00 +01,BL-80930
rec_031,1038-2120,NA,BL-80930
rec_031,1118-1383,2025-12-12 05:00:00 +01,BL-80930
rec_031,0541-1547,2025-12-11 22:10:00 +01,BL-80930
rec_031,1071-0114,2025-12-12 18:30:00 +01,BL-80930
rec_031,0956-1721,2025-12-11 22:50:00 +01,BL-80930
rec_031,0364-2068,2025-12-12 05:40:00 +01,BL-80930
rec_031,0340-1712,2025-12-11 11:00:00 +01,BL-80930
rec_031,0463-0219,2025-12-12 20:00:00 +01,BL-80930
rec_031,1001-0268,2025-12-12 18:30:00 +01,BL-80930
rec_031,1064-1795,2025-12-11 10:30:00 +01,BL-80930
rec_031,0783-1345,2025-12-13 01:50:00 +01,BL-80930
rec_031,1035-0114,2025-12-12 11:50:00 +01,BL-80930
rec_031,0920-0265,2025-12-12 14:00:00 +01,BL-80930
rec_031,0890-1928,2025-12-11 17:50:00 +01,BL-80930
rec_031,0559-0799,2025-12-11 19:00:00 +01,BL-80930
rec_031,0425-0591,2025-12-11 02:00:00 +01,BL-80930
rec_031,0816-0476,2025-12-13 09:00:00 +01,BL-80930
